Transformers: Age of Extinction,HuaXia,301000000,2014-6-27
The Monkey King,,167840000,2014-1-31
X-Men: Days of Future Past,HuaXia,116490000,2014-5-23
Captain America: The Winter Soldier,China Film,115620000,2014-4-4
"Dad, Where Are We Going?",,111870000,2014-1-31
Dawn of the Planet of the Apes,HuaXia,107355317,2014-8-29
The Breakup Guru,,106590000,2014-6-27
The Continent,HuaXia,100110000,2014-7-24
The Amazing Spider-Man 2,China Film,94430000,2014-5-4
The Man from Macau,,84570000,2014-1-31
Tiny Times 3,,82320000,2014-7-17
Godzilla (2014),HuaXia,77630000,2014-6-13
The Hobbit: The Desolation of Smaug,China Film,74730000,2014-2-21
My Old Classmate,,73050000,2014-4-25
The Expendables 3,China Film,72870000,2014-9-1
Need for Speed,China Film,66240000,2014-3-14
Edge of Tomorrow,HuaXia,65660000,2014-6-6
Beijing Love Story,China Film,65290000,2014-2-13
The House That Never Dies,,65220000,2014-7-18
How to Train Your Dragon 2,HuaXia,65100000,2014-8-14
The White Haired Witch of Lunar Kingdom,,61850000,2014-7-31
Despicable Me 2,China Film,52980000,2014-1-10
Robocop (2014),China Film,50820000,2014-2-28
Overheard 3,HuaXia,49650000,2014-5-29
Frozen (2013),China Film,48240000,2014-2-5
Maleficent,China Film,47720000,2014-6-20
Coming Home,Wanda,46000000,2014-5-16
The Great Hypnotist,,44050000,2014-4-30
Boonie Bears,,39910000,2014-1-17
Rio 2,China Film,39400000,2014-4-11
But Always (Yi Sheng Yi Shi),,36590000,2014-9-5
Old Boys: The Way of the Dragon,HuaXia,32800000,2014-7-10
Close Friends,,32180000,2014-7-30
The Four 3 (2014),HuaXia,31090000,2014-8-22
Brick Mansions,China Film,29840000,2014-8-1
Jack Ryan: Shadow Recruit,China Film,26210000,2014-1-17
Bing Fung: Chung Sang Chi Mun (Iceman),,22800000,2014-4-25
Ender's Game,China Film,22710000,2014-1-7
Transcendence,HuaXia,20280000,2014-4-18
Ex Files,,19310000,2014-1-31
Mr. Peabody & Sherman,China Film,19130000,2014-3-28
That Demon Within,China Film,17430000,2014-4-18
Into The Storm,HuaXia,17340000,2014-9-12
"Black Coal, Thin Ice",,16460000,2014-3-21
Temporary Family,China Film,16310000,2014-8-21
Qin Ai De Xiao Hai (Dearest),,15850000,2014-9-25
Pompeii,HuaXia,15630000,2014-8-14
Z Storm,,15220000,2014-8-16
Non-Stop,HuaXia,14870000,2014-9-19
Brotherhood of Blades,China Film,14190000,2014-8-7
Meet the Pegusus,,13760000,2014-1-16
Zheng Rong Ri Ji,,13380000,2014-4-4
Hallo Babies,,13040000,2014-1-11
Divergent,China Film,12320000,2014-9-8
As the Light Goes Out,China Film,11880000,2014-1-3
Deng Feng Lai (Up in the Wind),China Film,11780000,2014-12-31
Fighting (2014),,11670000,2014-3-21
One Step Away,China Film,11320000,2014-9-19
Snowpiercer,China Film,11100000,2014-3-17
Horse Trader,,9940000,2014-3-21
Legend of Qin,HuaXia,9250000,2014-8-8
Seer V,HuaXia,9180000,2014-7-10
Dragon Nest: Warriors' Dawn,HuaXia,8810000,2014-7-31
Yugo & Lala 2,,8630000,2014-8-8
The Family (2013),China Film,8520000,2014-3-7
The Magical Brush,China Film,8520000,2014-7-25
The Old Cinderella,HuaXia,8330000,2014-3-7
Free Birds,HuaXia,7990000,2014-3-7
Bunshinsaba 3,China Film,7890000,2014-7-4
Happy Little Submarines 4 - Adventures of Octopus,China Film,7390000,2014-5-30
The Monuments Men,China Film,7350000,2014-3-28
Roco Kingdom 3,,7050000,2014-7-10
GG Bond 2,,6670000,2014-5-31
Sweet Alibis,China Film,5700000,2014-3-7
Death is Here 3,,5470000,2014-4-4
Legendary: Tomb of the Dragon,China Film,5450000,2014-1-1
Last Flight,,5410000,2014-3-21
Redemption (2013),HuaXia,5190000,2014-5-9
Homefront,China Film,4960000,2014-3-14
"Lock Me Up, Tie Him Down",,4640000,2014-3-4
Just Another Margin,China Film,4630000,2014-2-1
The Outback,HuaXia,4600000,2014-5-1
The Mortal Instruments: City of Bones,HuaXia,4260000,2014-1-3
Night of Adventure,,4240000,2014-6-6
Happy Heroes 2 Qiyuan Planet Wars,,4210000,2014-7-18
Minuscule - La vall?e des fourmis perdues,China Film,4180000,2014-8-22
Grace of Monaco,HuaXia,4080000,2014-6-20
