,word,count
0,limited,3
1,you‚,1
2,curatorial,1
3,yellow,11
4,asian,15
5,appetite,1
6,hate,2
7,gabrielle,4
8,supermoist,1
9,eligible,1
10,mydunkin,1
11,igual,1
12,sorry,4
13,worth,92
14,updated,1
15,hitech,1
16,gritty,1
17,messy,7
18,vast,1
19,unexceptional,1
20,correct,5
21,broiled,1
22,flashy,1
23,reliable,10
24,enjoy,7
25,chew,2
26,29th,1
27,canele,1
28,consistent,4
29,almond,2
30,japanese,22
31,frosted,1
32,chef,2
33,elegant,3
34,second,41
35,fabulous,46
36,cheesegarlic,1
37,blue,39
38,established,1
39,beaten,2
40,deeeeelicious,1
41,new,708
42,admiral,1
43,told,2
44,kicked,1
45,festive,1
46,meh,6
47,cracked,1
48,dry,27
49,tooan,1
50,excelente,3
51,smoky,1
52,military,1
53,spotty,1
54,golden,5
55,fantastic,123
56,psychological,1
57,soybean,1
58,total,9
59,exactl,1
60,dongsoongdong,8
61,hospital,1
62,negative,5
63,hasidic,1
64,music,36
65,loooooong,1
66,recommend,3
67,survive,4
68,blueberry,2
69,wary,3
70,successful,3
71,georgian,3
72,aware,6
73,warm,1
74,excellent,60
75,hole,3
76,hold,1
77,outdated,1
78,dryaged,1
79,10minute,1
80,mr,1
81,im,9
82,addictive,14
83,decorative,1
84,looooong,1
85,give,29
86,indie,1
87,flung,1
88,micky,1
89,want,16
90,cantonese,4
91,indifferent,1
92,gargantuan,1
93,absolute,3
94,eng,2
95,provide,1
96,copious,1
97,ovenfresh,6
98,far,1
99,hot,187
100,gate,2
101,ordinary,2
102,sheshuan,1
103,regional,1
104,doable,1
105,mess,2
106,slightlymoreserious,1
107,decor,1
108,gaaaaareat,1
109,wrong,80
110,danny,1
111,ginormous,27
112,third,5
113,croissant,8
114,appreciate,2
115,green,98
116,ultimate,3
117,nonsensical,1
118,vary,4
119,oven,2
120,innovative,3
121,japan,1
122,talkative,1
123,fit,3
124,personal,19
125,magnetic,1
126,fig,3
127,violette,1
128,hidden,5
129,awfull,2
130,coffee,1
131,tourist,1
132,thee,1
133,safe,1
134,runny,1
135,caterpillar,1
136,bread,8
137,meat,2
138,crunchy,10
139,reasonable,56
140,acoustic,1
141,rosemary,14
142,meal,5
143,mean,15
144,financial,7
145,57th,1
146,2day,1
147,cathedral,4
148,hospitable,2
149,crucial,1
150,beauuudiful,1
151,smh,6
152,mulled,1
153,free,387
154,standard,19
155,icky,1
156,greasy,22
157,coffeestarved,1
158,enormous,3
159,ate,5
160,comfy,1
161,inexpensive,30
162,lousy,3
163,ish,8
164,prodigal,1
165,unappreciative,1
166,loud,7
167,industrial,1
168,email,1
169,provencal,2
170,delicious,734
171,sober,1
172,comic,1
173,saut√,1
174,electronic,1
175,spinach,1
176,top,58
177,tired,1
178,twisted,1
179,plentiful,1
180,liquidy,1
181,40th,2
182,koew,4
183,uppercrust,1
184,esoteric,1
185,western,1
186,matin√,1
187,unsanitary,2
188,peculiar,2
189,ew,2
190,likely,8
191,suree,1
192,historical,2
193,10th,1
194,este,1
195,rad,1
196,donegal,1
197,ral,1
198,modern,14
199,flavorful,27
200,mine,5
201,raw,3
202,homecooked,9
203,lunchtime,1
204,mint,1
205,alive,1
206,brunchbreakfast,1
207,convenient,9
208,hellwalked,1
209,da,1
210,amusing,2
211,agressive,1
212,49th,1
213,45th,1
214,gravy,9
215,mashed,2
216,rumble,1
217,regular,53
218,mouth,1
219,plenty,6
220,mustardfree,1
221,don,1
222,mushy,2
223,medical,1
224,metal,1
225,pineapple,3
226,entertaining,1
227,incomplete,1
228,seasonal,10
229,penang,1
230,minimalistic,1
231,participate,1
232,earth,14
233,toast,5
234,busy,22
235,shellfish,4
236,quaint,1
237,bliss,1
238,rich,9
239,tropic,1
240,adequate,2
241,codfish,1
242,plate,1
243,colorful,1
244,watch,1
245,scalable,1
246,watermelon,1
247,hitmiss,1
248,nasty,10
249,botanical,4
250,bar,4
251,bag,1
252,bad,212
253,grilled,41
254,steak,14
255,automatic,2
256,fragrant,2
257,fair,9
258,fluffy,8
259,resist,2
260,horrendous,3
261,miserable,6
262,seollentang,1
263,48th,1
264,inappropriate,1
265,orgasmic,1
266,meditative,1
267,lazy,6
268,omg,1
269,44th,1
270,weak,12
271,weary,1
272,slovakian,1
273,thetic,1
274,fattoush,1
275,d«,1
276,ill,4
277,hummus,1
278,asked,1
279,30th,1
280,archetypical,1
281,can‚,1
282,courtious,1
283,josh,1
284,cobble,2
285,2nd,1
286,colombian,3
287,trust,1
288,speak,2
289,beef,2
290,tiny,16
291,ever,1
292,confident,1
293,much,59
294,okayish,1
295,basil,1
296,flexible,1
297,fry,1
298,website,2
299,unapproachable,1
300,veggieshealthy,1
301,sprite,1
302,eastern,1
303,hennessy,1
304,spic,1
305,chile,1
306,child,1
307,gracious,3
308,east,17
309,gyal,1
310,friedfish,1
311,kentucky,1
312,n,2
313,near,1
314,melted,2
315,neat,2
316,allnatural,2
317,mongolian,1
318,paperthin,1
319,metropolitan,1
320,broth,1
321,ir,1
322,exeptible,1
323,cant,37
324,upscale,1
325,uncle,1
326,id,8
327,hong,3
328,complex,2
329,vegetable,48
330,several,12
331,toasted,5
332,european,3
333,unbearable,1
334,hang,3
335,delight,1
336,norwegian,1
337,garlic,115
338,jealous,1
339,kid,13
340,tunaasian,1
341,smokey,2
342,huuuge,1
343,humble,7
344,hispanic,2
345,hearty,2
346,borsh,1
347,smoked,3
348,corporate,8
349,musical,1
350,dinneropen,1
351,1hr,1
352,kale,2
353,quintessential,2
354,human,1
355,previous,3
356,jose,1
