,0,1,2,3
0,30075445,4c348cea213c2d7ff79e385d,They make goooood icise!,1338675705.0
1,30075445,4c348cea213c2d7ff79e385d,They make goooood icise!,1338675705.0
2,30112340,4e823597775b368bbbffb549,The breakfast here is good the staff needs some work as always.,1359463129.0
3,30191841,4a7ef04bf964a52055f21fe3,"Eat brunch here for very reasonably priced delicious food that comes with a free Bloody Mary, Mimosa or glass of wine.",1312045610.0
4,40356018,4ac68680f964a520d8b420e3,"Provided my wife and I with the best wedding experience ever! Can't say enough good things about this place, definitely top notch.",1351084714.0
5,40356068,4f32200d19836c91c7b8813f,,
6,40356151,4c12d4b882a3c9b6ac7bfaf8,When u sleep dont sleep,1306075709.0
7,40356442,4dc987b0d164c28eea85fdba,They're kosher!,1305053482.0
8,40356483,4bdc87a7afe8c9b645dc4f85,Get the corn chowder over every other soup. Awesome sandwiches.,1327798534.0
9,40356649,4f32afa019836c91c7efce60,,
10,40356731,4de2a9b11f6e3190cd15c944,Absolutely AMAZING!!!,1373418540.0
11,40357217,4c406ea5520fa5938000c8ac,Not a bad place to stop for a beer before the ride,1313692489.0
12,40357437,4c781d873badb1f7e7b04a54,,
13,40358429,4b15bb29f964a52069b323e3,Fried shrimp!!,1412895302.0
14,40359480,51a6dd2f498e1575af2fa155,,
15,40359705,4bafaa5df964a52066153ce3,Home to the annual Fourth of July International Hot Dog Eating Competition.,1341586310.0
16,40360045,4ebbdd20dab41f33bee32ad1,,
17,40360076,4ecacfc2f5b90c1c32a143cb,,
18,40361322,4f32a79e19836c91c7ecd986,,
19,40361390,4c86817cd34ca1432d7d5080,"Try the Baked Salmon Dinner ($9.50). ""The creamy red pepper sauce that tops this lightly cooked fish combines with the other tastes on the plate very nicely.""",1322431219.0
20,40361521,4e3439d3b61cd25ad4b1e2b9,,
21,40361606,4a9abe00f964a520713220e3,"Only has the most basic pre made drinks: regular iced coffee (no decaf), no espresso drinks, etc.  Also, consistently poor customer service.",1380489101.0
22,40361618,4bcc7f08511f9521aa0db3c7,,
23,40361708,4a395b07f964a5205f9f1fe3,Prosciutto panini is to die for!,1354920368.0
24,40361998,4bc4e1fcabf49521feb6c593,They are never open -____-,1300662825.0
25,40362098,4b720554f964a520856a2de3,great burger and great pulled pork sandwich.   fries are pretty darn good too!,1274229892.0
26,40362264,4ff70805e4b05ae523f6040a,,
27,40362274,4691e9b3f964a520c2481fe3,Movies are better than people.,1335587241.0
28,40362344,4b8cca53f964a52032dd32e3,"Never ever go here! I waited 25 minutes in the drive through with only 2 cars ahead of me. Cashier was rude, food was not great.",1290992480.0
29,40362432,512c1019e4b04a7a2b983ddf,"Good food, prices. Nice delivery guys and counter staff. Tri-lingual: Chinese, English, Spanish. 2 blocks from 7 train's Corona Plaza-103rd Street station. Moving out of NY; will miss them :-)",1367107481.0
30,40362715,4b7307a1f964a520e1962de3,The half sandwich and soup deal is da bomb,1311188575.0
31,40363093,4f435ded19834bc91f564b1c,,
32,40363098,4b66e89ef964a520be2f2be3,Don't come in the morning,1315666966.0
33,40363117,4b7f070ff964a520541130e3,Great sandwiches but I'm not a fan of microwaved bacon.,1280689986.0
34,40363151,4a894957f964a520d80720e3,"Most of their soups are good here, and change daily, but keep an eye out for the 5 bean chili, or the yellow split pea.",1313452667.0
35,40363298,4f322c7519836c91c7bd6a3e,"For lunch: salad selection is great, sandwich and pizza selection is ok.",1361386344.0
36,40363333,4c2b3770b34ad13a1a5ce9ce,,
37,40363426,4b8846c4f964a52019ec31e3,"Great for a quick bagel or egg sandwich! $3 for an egg sandwich, yes please!",1321969693.0
38,40363427,4c3473fb452620a15914250f,Best bagels around. Especially the veggie bagel.,1316354156.0
39,40363565,4b9e1fe6f964a52022cc36e3,,
40,40363590,4da85efb5da3ef8bf15c470a,Great Burgers and Gyros.  Egg sandwiches rock too.,1317397685.0
41,40363630,4c117bf0a9420f478bde7c51,Try the artichokes and heart of palm salad. They have a huge variety of Italian pastries too. Nice small kitchen feel in the middle of the UES.,1305993646.0
42,40363644,4b86085af964a5201a7e31e3,The carbonara isn't bad at all! Delicious paired with a chicken pizza and lots of ranch.,1411452013.0
43,40363685,4e960918d3e3b374957fa6c9,,
44,40363744,4c1150029336b713ae6e42ea,Ask for the Pliers,1304137254.0
45,40363804,4f32b76419836c91c7f2b209,,
46,40363834,4f32a94119836c91c7ed7261,,
47,40363920,4e4ccfb7bd413c4cc66c597b,,
48,40363945,4c1e9259b306c928664667b7,Pan pizza is amazing,1364264592.0
49,40364179,4e4e4e66bd4101d0d7a74e2a,,
50,40364220,4c938a7e72dd224b5a719191,Best bagels in the east coast. And I have traveled abroad.,1391617867.0
51,40364286,4bac9a50f964a52093fd3ae3,Veggie cream cheese rocks,1288019476.0
52,40364296,4c1d0464fcf8c9b60200ab0b,,
53,40364299,4d87a26350913704e07cc45b,,
54,40364304,4b4e5ec5f964a5203beb26e3,"Get the fried fish wrap, fresh and especially tasty with sweet potato fries!",1282864879.0
55,40364305,4b47598ef964a520852f26e3,Extra hot peppers!!!! Yummy!!!,1303246642.0
56,40364335,3fd66200f964a5209beb1ee3,Gotta get the steak for 2 medium rare and bacon for appetizer on caesar salad.,1313620076.0
57,40364347,481f2ad1f964a520844f1fe3,Visit the library on the second floor.,1281532734.0
58,40364355,4b61c759f964a5203a222ae3,The Graystone Cabernet is very good.,1367796298.0
59,40364362,42225f00f964a520b31f1fe3,"The cellar is Amazing, the upstairs room more romantic , but any place is a great historic piece  of America",1358386561.0
60,40364363,4c2facd6213c2d7f4d50315d,,
61,40364373,4a8f1d7ef964a520041420e3,"Get the Valdostaba (stuffed veal chop), or off the menu ask if they've made their famous meatballs! Mmm mmm mmm.",1278614757.0
62,40364389,3fd66200f964a52067e91ee3,The urinals -- definitely did not live up to the hype.,1365643135.0
63,40364404,4ca11354d3c2b60c009ee2bc,,
64,40364439,3fd66200f964a5201ae31ee3,Chicken and garlic sauce.,1394733640.0
65,40364449,4bdf4939e75c0f47d591ca03,Ask for chris the other bartender Danny is not friendly,1306534841.0
66,40364467,4c117277416620a17e22d9e4,,
67,40364518,3fd66200f964a520f8e41ee3,"Not the best big buck hunter game, but the air conditioning was pumping and on 100+degree days that matters, drink prices are reasonable too",1311449921.0
68,40364529,4b366a4bf964a520e03425e3,Mm mm mm mm mm everything!!,1389472250.0
69,40364531,4aa9911bf964a5204f5420e3,Michael's  ETA is 7:30. Don't bother being an early bird.,1265243754.0
70,40364572,4aa841a6f964a5206f5020e3,"An old school Irish bar. TV over the bar at the front, decent food at reasonable prices served by waitresses who call you honey...",1270133202.0
71,40364576,4b048d47f964a5201d5522e3,Go there for the low key french bistro ambiance with 80's music... eat before!,1314717885.0
72,40364581,3fd66200f964a5207cf11ee3,"choclate mouse cheesecake = heaven on earth,.... we r not deserving!",1290626804.0
73,40364610,4bce44fe937ca5936552ae92,,
74,40364668,4b74b06af964a5208fec2de3,Five courses with no menu. Vegans need not apply. Everyone else: this will be one of the best meals you've ever had. It's not New York until you've been to Marchi's.,1269386925.0
